"755","AIX (ppc)"
"982","AIX (ppc64)"
"1","DragonFly (i386)"
"1","DragonFlyBSD (amd64)"
"512","FreeBSD (amd64)"
"186","FreeBSD (i386)"
"259","HP-UX (IA64N)"
"18","HP-UX (IA64W)"
"76","HP-UX (PA_RISC2.0)"
"1","HP-UX (PA_RISC2.0W)"
"8","HP-UX (ia64)"
"1","Haiku (i386)"
"25","Linux (aarch64)"
"166134","Linux (amd64)"
"370","Linux (arm)"
"15533","Linux (i386)"
"26","Linux (ia64)"
"1","Linux (mips)"
"1","Linux (mips64el)"
"1","Linux (mipsel)"
"45","Linux (ppc)"
"209","Linux (ppc64)"
"63","Linux (ppc64le)"
"20","Linux (s390)"
"135","Linux (s390x)"
"206","Linux (x86)"
"1","Mac OS X (EMAG 1.2) (x86_64)"
"16","Mac OS X (i386)"
"1","Mac OS X (ppc)"
"15554","Mac OS X (x86_64)"
"86883","N/A"
"7","NetBSD (amd64)"
"5","NetBSD (i386)"
"4","OS/400 (PowerPC)"
"16","OpenBSD (amd64)"
"4","OpenBSD (i386)"
"267","SunOS (amd64)"
"1587","SunOS (sparc)"
"206","SunOS (sparcv9)"
"1284","SunOS (x86)"
"23","Windows (amd64)"
"17","Windows 10 (amd64)"
"24","Windows 10 (x86)"
"8","Windows 2000 (x86)"
"460","Windows 2003 (amd64)"
"3539","Windows 2003 (x86)"
"16206","Windows 7 (amd64)"
"22065","Windows 7 (x86)"
"823","Windows 8 (amd64)"
"1448","Windows 8 (x86)"
"1535","Windows 8.1 (amd64)"
"2055","Windows 8.1 (x86)"
"276","Windows NT (unknown) (amd64)"
"275","Windows NT (unknown) (x86)"
"8","Windows Server 2003 (amd64)"
"18","Windows Server 2003 (x86)"
"775","Windows Server 2008 (amd64)"
"1470","Windows Server 2008 (x86)"
"13533","Windows Server 2008 R2 (amd64)"
"1","Windows Server 2008 R2 (ia64)"
"10680","Windows Server 2008 R2 (x86)"
"3417","Windows Server 2012 (amd64)"
"3075","Windows Server 2012 (x86)"
"3860","Windows Server 2012 R2 (amd64)"
"2773","Windows Server 2012 R2 (x86)"
"41","Windows Vista (amd64)"
"507","Windows Vista (x86)"
"60","Windows XP (amd64)"
"2721","Windows XP (x86)"
"4","z/OS (s390)"
"8","z/OS (s390x)"
